CCSDS_OEM_VERS = 2.0
CREATION_DATE  = 2026-07-13T16:28:15.273
ORIGINATOR     = NASA/JSC/FOD/TOPO

META_START
OBJECT_NAME          = ISS
OBJECT_ID            = 1998-067-A
CENTER_NAME          = Earth
REF_FRAME            = EME2000
TIME_SYSTEM          = UTC
START_TIME           = 2026-07-13T12:00:00.000
USEABLE_START_TIME   = 2026-07-13T12:00:00.000
USEABLE_STOP_TIME    = 2026-07-28T12:00:00.000
STOP_TIME            = 2026-07-28T12:00:00.000
META_STOP

COMMENT ---------------------------------------------------------------
COMMENT TRIMMED FIXTURE for the OD module OEM-input test (A2.2a).
COMMENT Source: NASA public ISS OEM,
COMMENT   https://nasa-public-data.s3.amazonaws.com/iss-coords/current/ISS_OEM/ISS.OEM_J2K_EPH.txt
COMMENT Retrieved: 2026-07-13. Trimmed to the first ~12 h of state
COMMENT vectors (4-min steps); event/covariance comments removed.
COMMENT Frame EME2000, TIME_SYSTEM UTC, CENTER Earth, units km / km/s.
COMMENT ---------------------------------------------------------------
2026-07-13T12:00:00.000 -4024.536117375820 3872.286934554420 -3874.981772052980 -6.07123816590603 -2.18271154818452 4.12530324917983
2026-07-13T12:04:00.000 -5317.822488712790 3214.195298076930 -2755.860950997100 -4.64014785460052 -3.26816371446073 5.14387789227347
2026-07-13T12:08:00.000 -6224.624986728870 2322.529689476560 -1435.912465784630 -2.87013629438915 -4.11716515115675 5.78846444232778
2026-07-13T12:12:00.000 -6678.635903567710 1261.932213910410 -11.233924398653 -0.89001883006860 -4.66720266420756 6.01115223414499
2026-07-13T12:16:00.000 -6646.606961225470 109.506026206943 1414.261684683500 1.15526950726346 -4.87767036133317 5.79520298628834
2026-07-13T12:20:00.000 -6130.902621901270 -1050.885027799260 2736.562208049210 3.11583760509953 -4.73321528600961 5.15653816419049
2026-07-13T12:24:00.000 -5169.287927088900 -2134.851249446060 3859.286543802220 4.84846026385184 -4.24478161625909 4.14237401772491
2026-07-13T12:28:00.000 -3832.020287342180 -3063.694502330680 4700.779469963180 6.22727316949736 -3.44851709681617 2.82740777488706
2026-07-13T12:32:00.000 -2216.529738187750 -3770.125789709080 5200.031422810850 7.15302760106183 -2.40267509780628 1.30778534199272
2026-07-13T12:36:00.000 -440.215031421005 -4203.046854459850 5320.951423568360 7.55943479724536 -1.18310030265809 -0.30617966185836
2026-07-13T12:40:00.000 1368.026733413380 -4331.144117938210 5054.868817565210 7.41750279804986 0.12214066672464 -1.89765536314044
2026-07-13T12:44:00.000 3077.032576789420 -4145.100625051660 4421.113116621430 6.73743694699597 1.41888031146724 -3.35150163479059
2026-07-13T12:48:00.000 4562.747980652200 -3658.281860298990 3465.643985864360 5.56796223108043 2.61335051257020 -4.56222367816053
2026-07-13T12:52:00.000 5717.162584248030 -2905.853520058990 2257.830462083920 3.99335134643800 3.61875330355272 -5.44143216934874
2026-07-13T12:56:00.000 6456.230227504250 -1942.331351109700 885.523934210367 2.12788991187139 4.36165854264509 -5.92452663967618
2026-07-13T13:00:00.000 6726.136714721080 -837.670857445474 -551.320640306094 0.10765872521030 4.78768296454605 -5.97592502022456
2026-07-13T13:04:00.000 6507.338979453150 327.854260151669 -1948.005247224770 -1.91966043002828 4.86579591216840 -5.59197297102956
2026-07-13T13:08:00.000 5815.994449091700 1469.582333156590 -3202.844358348880 -3.80616415923848 4.59066960881854 -4.80123139773913
2026-07-13T13:12:00.000 4702.657173755250 2504.697337412150 -4224.651943810230 -5.41491466735042 3.98287095514230 -3.66202320064839
2026-07-13T13:16:00.000 3248.410722253800 3358.257927289820 -4939.352649901300 -6.62994535844207 3.08697681397146 -2.25765333890019
2026-07-13T13:20:00.000 1558.840613168680 3968.554876417540 -5295.234099234670 -7.36416800292833 1.96796317545202 -0.69002081937393
2026-07-13T13:24:00.000 -243.617824208838 4291.451900947150 -5266.549502373880 -7.56501352087365 0.70643428352127 0.92766497405917
2026-07-13T13:28:00.000 -2028.417169088850 4303.486107690190 -4855.292482572610 -7.21780309706059 -0.60692945639878 2.47877808506487
2026-07-13T13:32:00.000 -3666.152622977220 4003.553445909020 -4091.072630726460 -6.34673451783399 -1.87752826322289 3.85109196129581
2026-07-13T13:36:00.000 -5037.806784412450 3413.083317790010 -3029.125184843100 -5.01376490043291 -3.01329733019222 4.94459821489712
2026-07-13T13:40:00.000 -6043.402760505960 2574.632923487330 -1746.474216810670 -3.31476510941101 -3.93130208407459 5.67886628560838
2026-07-13T13:44:00.000 -6609.440494215970 1548.938047303480 -336.452083448830 -1.37321724660276 -4.56401494252101 5.99938078170243
2026-07-13T13:48:00.000 -6694.479531557900 410.528462730035 1098.121642682430 0.66890913879862 -4.86477109052481 5.88215252275941
2026-07-13T13:52:00.000 -6292.302755722780 -757.756210507193 2452.558992082960 2.66192902947983 -4.81146384900694 5.33572317973548
2026-07-13T13:56:00.000 -5432.388746461430 -1870.918708188900 3628.095038083650 4.46003082840513 -4.40832375342995 4.40056940899458
2026-07-13T14:00:00.000 -4177.610459783250 -2848.098494025330 4539.187473284500 5.93244103619691 -3.68530256698044 3.14563674486407
2026-07-13T14:04:00.000 -2619.457725076880 -3618.465787690820 5119.732249328560 6.97291065427936 -2.69544498766649 1.66288121627139
2026-07-13T14:08:00.000 -871.227393699652 -4126.285239591670 5327.746161662960 7.50693039646478 -1.51070862960702 0.06009960276166
2026-07-13T14:12:00.000 940.201396720013 -4334.840413856810 5148.254532356380 7.49640472490266 -0.21666693216985 -1.54673718687650
2026-07-13T14:16:00.000 2683.435636695460 -4229.003673082650 4594.309766661860 6.94205140351462 1.09335103150412 -3.04136989857630
2026-07-13T14:20:00.000 4231.961244605800 -3816.342822337680 3706.087562076080 5.88361089339042 2.32466499647728 -4.31539235419473
2026-07-13T14:24:00.000 5473.251396028030 -3126.638550437610 2548.057616821040 4.39726445438313 3.38794505347988 -5.27596274458211
2026-07-13T14:28:00.000 6316.964638785050 -2209.825011193550 1204.414679786130 2.59068421299252 4.20562107029299 -5.85260959730309
2026-07-13T14:32:00.000 6701.656146166210 -1132.438061181720 -226.998183656504 0.59553475665155 4.71783197610568 -6.00285504820539
2026-07-13T14:36:00.000 6599.394662991590 27.235711659777 -1641.877844856670 -1.44234911526747 4.88716560552300 -5.71572057842524
2026-07-13T14:40:00.000 6017.836608786230 1184.937711247660 -2937.186240554640 -3.37416590890449 4.70158175693397 -5.01264047176694
2026-07-13T14:44:00.000 4999.562621088380 2256.659896912720 -4018.754637696600 -5.05951835194507 4.17514005927646 -3.94555823820969
2026-07-13T14:48:00.000 3618.793283330360 3164.777602056090 -4808.133624734420 -6.37671862127024 3.34657857968737 -2.59264498069605
2026-07-13T14:52:00.000 1975.840631457860 3843.621119419980 -5248.188874580670 -7.23125463362308 2.27613025496408 -1.05222550403471
2026-07-13T14:56:00.000 189.795330693541 4244.114025528510 -5307.090700986750 -7.56198344047134 1.04099180647554 0.56440739778933
2026-07-13T15:00:00.000 -1609.986162265470 4337.207974466390 -4980.510386508680 -7.34495835808853 -0.27007105986043 2.14066632591722
2026-07-13T15:04:00.000 -3293.060513985750 4115.957291481990 -4291.942479269800 -6.59515847786884 -1.56269738982752 3.56263207092927
